X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,default,LGD,EAD
0.203192309,0.042402046,0.062208559,0.218607392,0.727191786,2.66557878,1.059940217,0.6570942,2.546868278,0.405128044,0.12814039,5.621970853,50.25103673,1.467112203,0,0.3886752469390337,0.715517606547392
0.222129312,0.14088018,0.26443141,0.35397068,0.240602701,0.316833759,2.408250116,1.68266716,32.74740382,6.312297356,0.333168174,8.31794678,32.80217,1.876995115,0,0.2521389580794423,0.46989834033389755
0.168722104,0.086115303,0.113596875,0.154113955,0.283420317,0.395518215,2.192889384,1.633770426,19.42203563,1.463847527,0.219942804,7.183359616,42.85700451,1.31912531,0,0.08455354464305559,0.1301710050091866
0.199943486,0.099571283,0.109612764,0.174037084,0.43836121,0.780503799,2.04385901,1.552899127,16.31793197,1.031673215,0.11968468,7.185329717,42.67577487,1.100847157,0,0.15205913327856507,0.467011362342329
0.14355023,0.010736315,0.006124579,0.01321745,0.608890862,1.556831079,0.827801173,0.418293138,1.545589108,0.29455666,0.024176644,4.520635121,58.55892444,0.570454425,0,0.5191146647457375,0.4474990465498854
0.163672709,0.083438151,0.10566154,0.195379545,0.489781694,0.959945356,1.390289622,0.45292096,5.66765278,0.739456984,0.072448348,2.661021317,42.96278789,1.266345657,0,0.6715235315814672,0.4343452363304603
0.138224724,0.043082809,0.046058134,0.099224386,0.575556724,1.356027426,1.504893594,0.729208284,2.877693034,0.360874249,0.039723516,2.444352651,54.05084714,1.069060608,0,0.5619149760783333,0.07930179546827389
0.147531066,0.059107175,0.064432495,0.12459153,0.377570795,0.606608417,1.847100045,0.735222078,3.377067257,0.699057916,0.023787142,2.683778435,60.82834162,1.090095997,0,0.17790231871054274,0.9517579655725736
0.208625404,0.072387299,0.088446677,0.136428689,0.324197125,0.479721435,2.247695241,1.003978385,6.214458782,1.426151086,0.092542172,2.861475651,60.1658022,1.221853537,0,0.1670173133820978,0.15168309456933346
0.204707952,0.101042155,0.20450833,0.277071543,0.209376884,0.264825148,4.39029172,2.64434896,25.77497156,17.67428471,0.395789804,4.276798027,26.61353296,2.023990192,0,0.11004964135664493,-0.20055069959792826
0.253311014,0.071434104,0.155652595,0.206653967,0.275915414,0.38105412,3.190596524,1.494934981,16.99896164,5.478328244,0.351854034,3.906228885,26.32139167,2.178967547,0,0.060864158929923286,0.20289389460424517
0.169183863,0.073787147,0.157262735,0.215528081,0.265582411,0.361623163,3.361871571,1.785150018,42.27985408,3.150645026,0.164041887,4.047222979,41.19263197,2.131302539,0,0.13434395328032311,0.3490401118009623
0.148161653,0.036929487,0.183336887,0.546495029,0.630518846,1.706497986,1.3566163,0.440674699,14.21962387,0.704395179,0.369537239,7.222882012,1.204767032,4.964512197,0,0.4815761577363493,0.29765607786000864
0.152069625,0.055100117,0.307921903,0.752127176,0.564448994,1.295942352,1.475510033,0.334018046,41.83441351,1.441770498,0.143476621,7.669130303,1.068464933,5.588407393,0,0.5339440096451433,0.9604740976270789
0.155326985,0.054876586,0.259681206,0.698556867,0.658184151,1.925551879,1.291543641,0.260077998,36.62989305,0.726191777,0.138460106,5.98494067,0.877265753,4.732094751,0,0.6259284191322487,0.651756287491367
0.2404749,0.032404129,0.021681936,0.082910528,0.71019522,2.450598714,1.145990234,0.419249455,1.387902165,0.1612072,0.250804787,1.305377054,112.0378918,0.669110268,0,0.4419009773888072,0.8101542417625837
